Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,CoapplicantIncome
LP001039,Female,No,0,Graduate,No,4000,144,3,1,Semiurban,Y,2275
LP001040,Female,Yes,0,Not Graduate,No,1928,100,3,1,Semiurban,Y,1644
LP001041,Female,No,0,Graduate,No,3086,120,4,1,Semiurban,Y,0
LP001042,Female,No,0,Graduate,No,4230,112,4,1,Semiurban,N,0
LP001043,Male,Yes,2,Graduate,No,4616,134,4,1,Urban,N,0
LP001044,Male,Yes,2,Graduate,No,2708,97,4,1,Semiurban,Y,1167
LP001045,Male,Yes,0,Graduate,No,2132,96,4,1,Semiurban,Y,1591
LP001046,Male,Yes,0,Graduate,No,3366,135,4,1,Rural,N,2200
LP001047,Male,Yes,2,Not Graduate,No,3357,144,4,1,Urban,Y,2859
LP001048,Male,Yes,0,Graduate,No,2500,120,4,1,Urban,Y,3796
LP001049,Male,Yes,3+,Graduate,No,3029,99,4,1,Urban,Y,0
LP001050,Female,No,0,Graduate,No,4166,116,4,0,Semiurban,N,0
LP001051,Male,No,0,Not Graduate,No,3200,126,4,0,Urban,N,2254
LP001052,Male,Yes,3+,Not Graduate,Yes,7100,125,4,1,Urban,Y,0
LP001053,Female,No,0,Graduate,No,4300,136,4,0,Semiurban,N,0
LP001054,Male,Yes,2,Not Graduate,Yes,1875,97,4,1,Semiurban,Y,1875
LP001055,Male,No,0,Graduate,No,3500,81,4,1,Semiurban,Y,0
LP001056,Male,Yes,3+,Not Graduate,No,4755,95,4,0,Semiurban,N,0
LP001057,Male,No,0,Graduate,No,3750,113,4,1,Urban,N,0
LP001058,Male,Yes,1,Graduate,Yes,1000,110,4,1,Urban,N,3022
LP001059,Male,Yes,3+,Not Graduate,Yes,3333,130,4,,Semiurban,Y,2166
LP001060,Female,No,0,Graduate,No,3846,111,4,1,Semiurban,Y,0
LP001061,Male,Yes,1,Graduate,No,3988,50,4,1,Urban,Y,0
LP001062,Male,No,0,Graduate,No,2366,136,4,1,Semiurban,Y,2531
LP001063,Male,Yes,2,Not Graduate,No,3333,99,4,,Semiurban,Y,2000
LP001064,Male,Yes,0,Graduate,No,2500,104,4,1,Semiurban,Y,2118
LP001065,Male,Yes,0,Graduate,No,2958,131,4,1,Semiurban,Y,2900
LP001066,Male,Yes,2,Not Graduate,No,3273,81,4,1,Urban,Y,1820
LP001067,Male,No,0,Graduate,No,4133,122,4,1,Semiurban,Y,0
LP001068,Male,No,0,Not Graduate,No,3620,25,4,1,Semiurban,Y,0
LP001069,Female,Yes,0,Graduate,No,2484,137,4,1,Semiurban,Y,2302
LP001070,Male,Yes,0,Graduate,No,1977,50,4,1,Semiurban,Y,997
LP001071,Male,Yes,0,Not Graduate,No,4188,115,4,1,Semiurban,Y,0
LP001072,Male,Yes,0,Graduate,No,1759,131,4,1,Semiurban,Y,3541
LP001073,Male,Yes,2,Not Graduate,No,4288,133,4,1,Urban,Y,3263
LP001074,Male,Yes,1,Graduate,No,3052,100,4,1,Urban,Y,1030
LP001075,Male,No,0,Not Graduate,,7333,120,4,1,Rural,N,0
LP001076,Male,Yes,3+,Not Graduate,No,2071,94,4,1,Semiurban,Y,754
LP001077,Male,No,0,Graduate,No,5316,136,4,1,Urban,Y,0
LP001078,Female,Yes,0,Graduate,,2929,139,5,1,Semiurban,Y,2333
LP001079,Male,No,0,Graduate,,5050,118,5,1,Semiurban,Y,0
LP001080,Male,Yes,1,Graduate,No,2214,85,5,,Urban,Y,1398
LP001081,Female,No,0,Graduate,No,4166,44,5,1,Semiurban,Y,0
LP001082,Female,No,0,Graduate,No,2137,137,5,0,Semiurban,Y,8980
LP001083,Male,Yes,2,Graduate,No,2957,81,5,1,Semiurban,Y,0
LP001084,Female,No,0,Graduate,No,3692,93,5,2,Rural,Y,0
LP001085,Male,No,0,Graduate,No,2014,74,5,1,Urban,Y,1929
LP001086,Male,No,0,Graduate,No,2718,70,5,1,Semiurban,Y,0
LP001087,Male,Yes,0,Graduate,Yes,3459,25,5,1,Semiurban,Y,0
LP001088,Male,No,0,Graduate,No,4895,102,6,1,Semiurban,Y,0
LP001089,Female,Yes,0,Graduate,No,4583,84,6,1,Rural,N,0
LP001090,Male,Yes,2,Graduate,Yes,3316,88,6,1,Urban,Y,3500
LP001091,Male,Yes,2,Not Graduate,No,4200,129,6,1,Rural,N,1430
LP001092,Male,Yes,0,Graduate,No,2698,122,6,1,Semiurban,Y,2034
LP001093,Female,Yes,0,Graduate,No,2330,100,6,1,Semiurban,Y,4486
LP001094,Male,Yes,1,Graduate,No,1538,30,5,1,Urban,Y,1425
LP001095,Male,Yes,0,Graduate,No,4860,125,5,1,Semiurban,Y,830
LP001096,Male,No,0,Graduate,No,6277,118,7,0,Rural,N,0
LP001097,Male,Yes,2,Not Graduate,No,2281,113,7,1,Rural,N,0
LP001098,Male,No,0,Graduate,No,3254,50,7,1,Urban,Y,0
LP001099,Male,No,0,Graduate,,2980,120,7,1,Rural,Y,2083
LP001100,Male,Yes,0,Not Graduate,No,1863,98,7,1,Semiurban,Y,1041
LP001101,Male,Yes,1,Graduate,No,3089,121,7,0,Semiurban,N,1280
LP001102,Male,Yes,0,Graduate,No,9323,75,7,1,Urban,Y,0
LP001103,Female,Yes,0,Graduate,No,4583,112,7,1,Rural,N,0
LP001104,Male,Yes,0,Graduate,No,2439,129,7,1,Rural,Y,3333
LP001105,Male,No,0,Graduate,No,2237,63,7,0,Semiurban,N,0
LP001106,Male,Yes,0,Not Graduate,,1820,95,7,1,Rural,Y,1769
LP001107,Male,Yes,3+,Not Graduate,No,3522,81,7,1,Rural,N,0
LP001108,Male,Yes,0,Not Graduate,Yes,4344,87,7,1,Semiurban,N,736
LP001109,Male,Yes,0,Graduate,No,3497,116,7,1,Rural,Y,1964
LP001110,Male,Yes,2,Graduate,No,2045,101,5,1,Rural,Y,1619
LP001111,Male,Yes,1,Graduate,No,3750,116,9,1,Semiurban,Y,0
LP001112,Male,No,0,Not Graduate,No,2333,102,9,0,Urban,N,1451
LP001113,Male,No,0,Graduate,No,1916,67,9,,Rural,N,5063
LP001114,Male,Yes,0,Graduate,No,4600,73,9,1,Semiurban,Y,0
LP001115,Female,Yes,0,Graduate,No,3625,108,9,1,Semiurban,Y,0
LP001116,Male,Yes,1,Graduate,Yes,2178,66,9,0,Rural,N,0
LP001117,Male,Yes,0,Graduate,No,2383,58,9,,Rural,Y,2138
LP001118,Male,No,0,Not Graduate,No,4885,48,9,1,Rural,Y,0
LP001119,Male,No,0,Graduate,No,3858,76,9,1,Semiurban,Y,0
LP001120,Male,No,0,Graduate,No,4191,120,9,1,Rural,Y,0
LP001121,Female,No,0,Not Graduate,No,1907,120,9,1,Urban,Y,2365
LP001122,Female,Yes,0,Graduate,No,3416,113,9,,Semiurban,Y,2816
LP001123,Male,Yes,1,Not Graduate,No,2600,90,9,1,Semiurban,Y,2500
LP001124,Male,Yes,1,Not Graduate,No,3500,135,9,1,Urban,Y,1083
LP001125,Male,Yes,2,Not Graduate,No,3917,124,9,1,Semiurban,Y,0
LP001126,Female,No,0,Not Graduate,No,4408,120,9,1,Semiurban,Y,0
LP001127,Female,No,0,Graduate,No,3244,80,9,1,Urban,Y,0
LP001128,Male,No,0,Not Graduate,No,3975,55,9,1,Rural,Y,2531
LP001129,Male,No,0,Graduate,No,2479,59,9,1,Urban,Y,0
LP001130,Male,No,0,Graduate,No,3418,127,9,1,Semiurban,N,0
LP001131,Male,Yes,3+,Graduate,No,3430,128,9,0,Semiurban,N,1250
LP001132,Male,Yes,3+,Not Graduate,Yes,5703,130,9,1,Rural,Y,0
LP001133,Male,Yes,0,Graduate,No,3173,137,9,1,Urban,Y,3021
LP001134,Male,Yes,3+,Not Graduate,No,3850,100,9,1,Semiurban,Y,983
LP001135,Male,Yes,0,Graduate,No,150,135,9,1,Rural,N,1800
LP001136,Male,Yes,0,Graduate,No,3727,131,9,1,Semiurban,Y,1775
LP001137,Male,Yes,2,Graduate,No,5000,72,9,0,Semiurban,N,0
LP001138,Female,Yes,2,Graduate,No,4283,127,9,0,Semiurban,Y,2383
LP001139,Male,Yes,0,Graduate,No,2221,60,9,0,Urban,N,0
LP001140,Male,Yes,2,Graduate,No,4009,116,9,1,Semiurban,Y,1717
LP001141,Male,No,0,Graduate,No,2971,144,9,1,Semiurban,Y,2791
LP001142,Male,Yes,0,Graduate,No,6250,128,11,1,Semiurban,Y,0
LP001143,Male,Yes,,Not Graduate,Yes,4735,138,11,1,Urban,N,0
LP001144,Male,Yes,1,Graduate,No,2491,104,12,1,Semiurban,Y,2054
LP001145,Male,Yes,0,Graduate,No,3716,42,12,1,Rural,Y,0
LP001146,Male,No,0,Not Graduate,No,3189,120,12,1,Rural,Y,2598
LP001147,Male,Yes,1,Graduate,No,3155,140,12,1,Semiurban,Y,1779
LP001148,Female,No,0,Graduate,Yes,3463,122,12,1,Urban,Y,0
LP001149,Female,No,1,Graduate,No,3812,112,12,1,Rural,Y,0
LP001150,Male,Yes,1,Graduate,No,3315,96,12,1,Semiurban,Y,0
LP001151,Male,Yes,2,Graduate,No,5819,120,12,1,Rural,Y,5000
LP001152,Male,Yes,1,Not Graduate,No,2510,140,12,1,Urban,N,1983
LP001153,Male,Yes,2,Graduate,Yes,6250,108,12,1,Rural,Y,1300
LP001154,Male,Yes,0,Not Graduate,No,3406,123,12,1,Semiurban,Y,4417
LP001155,Male,No,0,Graduate,Yes,6050,120,12,1,Urban,N,4333
LP001156,Male,Yes,2,Graduate,No,9703,112,12,1,Urban,Y,0
LP001157,Male,Yes,1,Not Graduate,No,6608,137,12,1,Urban,Y,0
LP001158,Male,Yes,1,Graduate,No,2882,123,12,1,Semiurban,Y,1843
LP001159,Male,Yes,0,Graduate,No,1809,90,12,1,Urban,Y,1868
LP001160,Female,No,2,Graduate,No,3427,138,12,1,Urban,N,0
LP001161,Male,No,0,Not Graduate,Yes,2583,104,11,1,Rural,Y,2167
LP001162,Male,No,0,Not Graduate,No,6045,115,11,0,Rural,N,0
LP001163,Male,Yes,3+,Graduate,No,5250,94,11,0,Urban,N,0
LP001164,Male,Yes,3+,Not Graduate,No,4931,128,11,1,Semiurban,N,0
LP001165,Male,No,0,Graduate,No,2060,134,11,1,Semiurban,Y,2209
LP001166,Female,No,0,Graduate,No,7200,120,11,1,Rural,Y,0
LP001167,Male,No,0,Graduate,Yes,5166,128,11,1,Semiurban,Y,0
LP001168,Male,Yes,2,Graduate,No,4708,150,11,1,Semiurban,Y,1387
LP001169,Female,No,0,Graduate,No,3418,135,11,1,Rural,N,0
LP001170,Female,No,1,Graduate,No,2876,90,11,1,Urban,Y,1560
LP001171,Female,No,0,Graduate,No,3237,30,11,1,Urban,Y,0
LP001172,Male,No,0,Graduate,No,2833,126,11,1,Rural,Y,1857
LP001173,Male,Yes,0,Graduate,No,2620,150,11,1,Semiurban,Y,2223
LP001174,Male,Yes,2,Graduate,No,3900,90,11,1,Semiurban,Y,0
LP001175,Male,Yes,1,Graduate,No,2750,115,11,1,Semiurban,Y,1842
LP001176,Male,Yes,0,Graduate,No,3103,80,11,1,Urban,Y,1300
LP001177,Female,Yes,0,Not Graduate,No,4100,124,11,2,Rural,Y,0
LP001178,Male,Yes,0,Graduate,No,3927,112,11,1,Semiurban,Y,800
LP001179,Male,Yes,2,Graduate,No,2301,78,11,1,Urban,Y,
LP001180,Female,No,0,Graduate,No,1811,54,11,1,Urban,Y,1666
LP001181,Male,No,0,Graduate,No,3158,89,11,1,Rural,Y,3053
LP001182,Female,No,0,Graduate,Yes,2600,99,11,1,Semiurban,N,1717
LP001183,Male,Yes,0,Graduate,No,3704,120,11,1,Rural,Y,2000
LP001184,Female,No,0,Graduate,No,4124,115,11,1,Semiurban,Y,0
LP001185,Male,Yes,0,Graduate,No,3075,139,11,1,Rural,Y,2416
LP001186,Male,Yes,2,Graduate,No,4400,127,11,0,Semiurban,N,0
LP001187,Male,Yes,2,Graduate,No,3153,134,11,1,Urban,Y,1560
LP001188,Female,No,0,Graduate,No,5417,143,11,0,Urban,N,0
LP001189,Male,Yes,3+,Graduate,No,4416,110,11,1,Urban,Y,1250
LP001190,Female,Yes,1,Graduate,No,4666,135,11,1,Urban,Y,0
LP001191,Male,Yes,1,Graduate,No,2014,113,11,1,Urban,N,2925
LP001192,Male,Yes,0,Not Graduate,No,1800,93,11,0,Urban,N,2934
LP001193,Male,Yes,0,Not Graduate,No,2875,105,9,1,Semiurban,Y,1750
LP001194,Female,No,0,Graduate,No,5000,132,9,1,Rural,Y,0
LP001195,Male,Yes,1,Graduate,No,1625,96,9,1,Urban,Y,1803
LP001196,Male,No,0,Graduate,No,4000,140,9,1,Rural,Y,2500
LP001197,Female,No,0,Graduate,No,3762,135,9,1,Rural,Y,1666
LP001198,Female,No,0,Graduate,No,2400,104,9,0,Urban,N,1863
LP001199,Female,No,0,Graduate,No,2917,84,9,1,Semiurban,Y,0
LP001200,Male,No,0,Not Graduate,No,2927,111,9,1,Semiurban,Y,2405
LP001201,Female,No,0,Graduate,No,2507,56,9,1,Rural,Y,0
LP001202,Male,Yes,2,Graduate,Yes,5746,144,9,,Rural,Y,0
LP001203,Male,Yes,1,Not Graduate,No,3399,111,9,1,Urban,Y,1640
LP001204,Male,Yes,2,Graduate,No,3717,120,9,1,Semiurban,Y,0
LP001205,Male,Yes,0,Graduate,No,2058,88,10,,Urban,Y,2134
LP001206,Female,No,1,Graduate,No,3541,112,8,,Semiurban,Y,0
LP001207,Male,Yes,0,Graduate,No,2400,115,8,1,Semiurban,Y,2167
LP001208,Male,Yes,3+,Graduate,No,4342,124,8,1,Semiurban,Y,189
LP001209,Female,No,0,Graduate,No,3166,132,8,,Rural,Y,2985
LP001210,Male,No,0,Graduate,No,4917,130,8,0,Rural,Y,0
LP001211,Female,Yes,0,Graduate,No,4333,110,8,1,Urban,N,2451
LP001212,Female,No,0,Graduate,No,2500,67,8,1,Urban,Y,0
LP001213,Male,No,1,Graduate,No,4384,117,8,1,Urban,Y,1793
LP001214,Male,No,0,Graduate,No,2935,98,8,1,Semiurban,Y,0
LP001215,Male,No,,Graduate,No,2833,71,8,1,Urban,Y,0
LP001216,Male,Yes,,Graduate,Yes,5503,70,8,1,Semiurban,Y,4490
LP001217,Female,No,0,Graduate,No,4160,71,8,1,Semiurban,Y,0
LP001218,Female,No,0,Graduate,No,2378,46,8,1,Rural,N,0
LP001219,Male,Yes,3+,Not Graduate,No,3173,74,8,1,Semiurban,Y,0
LP001220,Male,Yes,2,Graduate,No,2583,125,8,1,Rural,Y,2330
LP001221,Male,Yes,2,Not Graduate,No,3083,126,8,1,Urban,Y,2168
LP001222,Male,Yes,3+,Graduate,No,2666,95,10,1,Rural,Y,2083
LP001223,Female,Yes,0,Graduate,Yes,5500,105,10,0,Rural,N,0
LP001224,Female,Yes,0,Graduate,No,2423,130,10,1,Semiurban,Y,505
LP001225,Female,No,,Graduate,No,3813,116,10,1,Urban,Y,0
LP001226,Male,Yes,1,Graduate,No,3875,67,10,1,Urban,N,0
LP001227,Male,Yes,0,Not Graduate,No,3000,100,10,0,Urban,N,1666
LP001228,Female,No,1,Graduate,No,4723,81,10,1,Semiurban,N,0
LP001229,Male,Yes,0,Graduate,No,4750,130,10,1,Urban,Y,2333
LP001230,Male,Yes,0,Graduate,No,3013,95,10,6,Urban,Y,3033
LP001231,Male,No,0,Graduate,Yes,6822,141,10,1,Rural,Y,0
LP001232,Male,No,0,Not Graduate,No,6216,133,10,1,Rural,N,0
LP001233,Male,No,0,Graduate,No,2500,96,10,1,Semiurban,N,0
LP001234,Male,No,0,Graduate,No,5124,124,10,0,Rural,N,0
LP001235,Male,No,1,Graduate,No,3062,111,10,0,Urban,N,1987
LP001236,Female,No,0,Graduate,No,2764,110,10,1,Urban,Y,1459
LP001237,Male,Yes,0,Graduate,No,4817,120,10,1,Urban,Y,923
LP001238,Male,Yes,3+,Graduate,No,8750,130,10,1,Rural,Y,4996
LP001239,Male,Yes,0,Graduate,No,4310,130,10,,Semiurban,Y,0
LP001240,Male,No,0,Graduate,No,3069,71,10,1,Urban,N,0
LP001241,Male,Yes,2,Graduate,No,5391,130,10,1,Urban,Y,0
LP001242,Male,Yes,0,Graduate,,3333,128,10,1,Semiurban,Y,2500
LP001243,Male,No,0,Graduate,Yes,7167,128,10,1,Urban,Y,0
LP001244,Male,Yes,2,Graduate,No,4566,100,10,1,Urban,N,0
LP001245,Male,No,1,Graduate,,3667,113,10,1,Urban,Y,0
LP001246,Male,No,0,Not Graduate,No,2346,132,10,1,Semiurban,Y,1600
LP001247,Male,Yes,0,Graduate,No,2333,136,10,1,Urban,Y,2417
LP001248,Male,Yes,0,Graduate,No,5488,125,10,1,Rural,Y,0
LP001249,Male,Yes,0,Graduate,No,2583,120,10,,Urban,Y,2115
LP001250,Male,Yes,2,Not Graduate,No,1993,113,10,1,Semiurban,Y,1625
LP001251,Male,Yes,2,Graduate,No,3100,113,10,1,Urban,Y,1400
LP001252,Male,Yes,2,Graduate,No,3276,135,10,,Semiurban,Y,484
LP001253,Female,No,0,Graduate,No,3180,71,10,0,Urban,N,0
LP001254,Male,Yes,0,Graduate,No,3033,95,10,1,Urban,Y,1459
LP001255,Male,No,0,Not Graduate,No,3902,109,10,1,Rural,Y,1666
LP001256,Female,No,0,Graduate,No,1500,103,10,0,Semiurban,N,1800
LP001257,Male,Yes,2,Not Graduate,No,2889,45,10,0,Urban,N,0
LP001258,Male,No,0,Not Graduate,No,2755,65,10,1,Rural,N,0
LP001259,Male,No,0,Graduate,No,2500,103,10,1,Semiurban,Y,20000
LP001260,Female,No,0,Not Graduate,No,1963,53,8,1,Semiurban,Y,0
LP001261,Female,No,0,Graduate,No,4547,115,8,1,Semiurban,Y,0
LP001262,Male,Yes,0,Not Graduate,No,2167,115,8,1,Urban,Y,2400
LP001263,Female,No,0,Not Graduate,No,2213,66,8,1,Rural,Y,0
LP001264,Female,No,1,Not Graduate,Yes,3867,62,8,1,Semiurban,N,0
LP001265,Male,Yes,0,Not Graduate,No,2253,110,8,1,Rural,Y,2033
LP001266,Female,No,0,Graduate,No,2995,60,8,1,Urban,Y,0
LP001267,Male,Yes,0,Graduate,No,1025,112,8,1,Rural,Y,2773
LP001268,Male,Yes,0,Graduate,No,3246,138,8,1,Semiurban,Y,1417
LP001269,Male,Yes,0,Graduate,No,5829,138,8,1,Rural,Y,0
LP001270,Female,No,0,Not Graduate,No,2720,80,8,0,Urban,N,0
LP001271,Male,Yes,0,Graduate,No,1820,100,8,1,Urban,Y,1719
LP001272,Male,Yes,1,Graduate,No,7250,110,8,0,Urban,N,1667
LP001273,Male,Yes,0,Graduate,No,2666,121,8,1,Rural,Y,4300
LP001274,Female,No,1,Not Graduate,No,4606,81,8,1,Rural,N,0
LP001275,Male,Yes,2,Graduate,No,5935,133,8,1,Semiurban,Y,0
LP001276,Male,Yes,0,Graduate,No,2920,87,8,1,Rural,Y,16.12000084
LP001277,Male,No,0,Not Graduate,No,2717,60,8,1,Urban,Y,0
LP001278,Female,No,1,Graduate,Yes,8624,150,8,1,Semiurban,Y,0
LP001279,Male,No,0,Graduate,No,6500,105,8,0,Rural,N,0
LP001280,Male,Yes,0,Graduate,No,2425,143,8,1,Semiurban,Y,2340
LP001281,Male,No,0,Graduate,No,3750,100,8,1,Urban,Y,0
LP001282,Male,No,0,Graduate,No,1926,50,8,1,Semiurban,Y,1851
LP001283,Female,Yes,0,Not Graduate,Yes,7142,138,8,1,Rural,Y,0
LP001284,Male,No,3+,Not Graduate,No,4707,148,8,1,Semiurban,Y,1993
LP001285,Male,Yes,1,Graduate,Yes,3466,130,8,1,Rural,Y,1210
LP001286,Male,Yes,2,Not Graduate,No,4652,110,8,1,Rural,Y,0
LP001287,Male,Yes,0,Graduate,No,3539,55,8,1,Rural,N,1376
LP001288,Male,Yes,2,Graduate,No,3340,150,8,0,Rural,N,1710
LP001289,Male,Yes,2,Not Graduate,No,2309,125,8,0,Rural,N,1255
LP001290,Male,Yes,2,Not Graduate,No,1958,60,8,,Urban,Y,1456
LP001291,Male,Yes,0,Graduate,No,3948,149,8,0,Rural,N,1733
LP001292,Male,Yes,0,Graduate,No,2483,90,8,0,Rural,Y,2466
LP001293,Male,No,0,Graduate,Yes,7085,84,8,1,Semiurban,Y,0
LP001294,Male,Yes,2,Graduate,No,3859,96,8,1,Semiurban,Y,0
LP001295,Male,Yes,0,Graduate,No,4301,118,8,1,Urban,Y,0
LP001296,Male,No,2,Graduate,No,4354,136,8,1,Rural,Y,0
LP001297,Male,Yes,3+,Graduate,No,7740,128,8,1,Urban,Y,0
LP001298,Female,No,1,Not Graduate,No,5191,132,8,1,Semiurban,Y,0
LP001299,Male,No,0,Graduate,No,4166,98,8,0,Semiurban,N,0
LP001300,Male,No,0,Graduate,No,6000,140,8,1,Rural,Y,0
LP001301,Male,Yes,3+,Not Graduate,No,2947,70,8,0,Urban,N,1664
LP001302,Female,Yes,2,Not Graduate,No,210,98,8,1,Semiurban,Y,2917
LP001303,Male,Yes,0,Graduate,No,4333,110,8,1,Urban,N,2451
LP001304,Male,Yes,1,Not Graduate,No,2653,113,8,0,Rural,N,1500
LP001305,Male,Yes,3+,Graduate,No,4691,100,8,1,Semiurban,Y,0
LP001306,Female,No,0,Graduate,Yes,2500,93,8,,Urban,Y,0
LP001307,Male,Yes,2,Graduate,No,2873,132,8,0,Semiurban,N,1872
LP001308,Male,Yes,3+,Not Graduate,No,3095,113,8,1,Rural,Y,0
LP001309,Male,Yes,0,Graduate,No,2083,128,7,1,Semiurban,Y,3150
LP001310,Male,Yes,1,Not Graduate,No,1958,131,7,1,Rural,Y,2436
LP001311,Male,No,2,Graduate,No,3547,80,7,0,Rural,N,0
LP001312,Male,No,0,Graduate,No,2435,75,7,1,Urban,N,0
LP001313,Male,No,0,Not Graduate,No,2699,96,7,,Semiurban,Y,2785
LP001314,Male,No,0,Not Graduate,No,3691,110,7,1,Rural,Y,0
LP001315,Male,Yes,0,Graduate,No,3597,119,7,0,Rural,N,2157
LP001316,Female,Yes,1,Graduate,No,3326,105,7,1,Semiurban,Y,913
LP001317,Male,Yes,0,Not Graduate,No,2600,107,7,1,Rural,Y,1700
LP001318,Male,Yes,0,Graduate,No,4625,111,7,,Urban,Y,2857
LP001319,Male,Yes,1,Graduate,Yes,2895,95,7,1,Semiurban,Y,0
LP001320,Female,No,0,Graduate,No,645,113,7,1,Rural,Y,3683
LP001321,Female,No,0,Graduate,No,3159,100,7,1,Semiurban,Y,0
LP001322,Male,Yes,1,Not Graduate,No,4050,138,7,,Rural,N,5302
LP001323,Male,Yes,0,Not Graduate,No,3814,124,7,1,Semiurban,Y,1483
LP001324,Male,No,0,Graduate,No,3583,96,7,1,Urban,N,0
LP001325,Male,No,0,Not Graduate,No,3598,100,7,1,Rural,N,1287
LP001326,Male,Yes,2,Graduate,No,3283,148,7,1,Urban,Y,2035
LP001327,Male,Yes,0,Graduate,No,2130,70,7,1,Semiurban,N,6666
LP001328,Male,Yes,3+,Graduate,No,3466,150,7,1,Rural,Y,3428
LP001329,Female,Yes,2,Graduate,No,2031,113,7,1,Semiurban,Y,1632
LP001330,Male,Yes,,Not Graduate,No,3074,123,7,0,Semiurban,N,1800
LP001331,Female,No,0,Not Graduate,No,3400,95,7,1,Rural,N,0
LP001332,Male,Yes,2,Not Graduate,No,2192,45,7,1,Semiurban,Y,1742
LP001333,Male,No,0,Graduate,No,2500,55,7,1,Semiurban,Y,0
LP001334,Male,Yes,3+,Graduate,Yes,5677,100,7,1,Rural,Y,1424
LP001335,Male,Yes,0,Graduate,No,3775,110,7,1,Semiurban,Y,0
LP001336,Male,No,1,Not Graduate,No,2679,94,7,1,Semiurban,Y,1302
LP001337,Male,No,0,Not Graduate,No,6783,130,7,1,Semiurban,Y,0
LP001338,Male,Yes,3+,Graduate,No,4281,100,7,1,Urban,Y,0
LP001339,Male,No,2,Graduate,No,3588,110,7,0,Rural,N,0
LP001340,Male,No,0,Not Graduate,No,2550,126,7,1,Rural,Y,2042
LP001341,Male,No,2,Graduate,No,3617,107,7,1,Semiurban,Y,0
LP001342,Male,Yes,0,Not Graduate,No,2917,66,7,1,Rural,N,536
LP001343,Female,Yes,1,Graduate,No,4608,140,7,1,Semiurban,Y,2845
LP001344,Female,No,0,Graduate,No,2138,99,7,0,Semiurban,N,0
LP001345,Female,No,1,Graduate,No,3652,95,7,1,Semiurban,Y,0
LP001346,Male,Yes,1,Not Graduate,No,2239,95,7,1,Urban,Y,2524
LP001347,Female,Yes,0,Not Graduate,No,3017,95,7,,Semiurban,Y,663
LP001348,Male,No,0,Not Graduate,No,3358,95,7,1,Semiurban,N,0
